845,843,765,1221,0,2737,0
844,835,759,1204,0,2737,0
856,808,741,1180,0,2742,0
852,794,741,1171,0,2752,0
852,791,731,1154,0,2741,0
854,782,722,1148,0,2743,0
850,774,719,1132,0,2741,0
840,768,712,1120,0,2741,0
839,758,708,1110,0,2742,0
841,755,701,1104,0,2743,0
837,744,694,1084,0,2742,0
837,737,692,1084,0,2754,0
836,734,688,1079,0,2743,0
837,735,689,1079,0,2743,0
0,0,0,0,0,0,0
730,711,645,1026,2089,2687,0
731,709,643,1030,2082,2692,0
736,707,645,1024,2085,2686,0
731,708,639,1028,2085,2689,0
733,709,645,1023,2085,2689,0
733,703,641,1030,2083,2693,0
724,706,647,1028,2084,2689,0
726,704,644,1024,2083,2690,0
726,707,643,1028,2085,2691,0
728,704,642,1023,2084,2693,0
725,703,640,1024,2087,2692,0
727,703,644,1018,2088,2690,0
723,701,641,1016,2085,2692,0
723,699,635,1013,2084,2690,0
727,698,637,1010,2085,2690,0
718,700,638,1013,2084,2687,0
723,694,636,1006,2084,2684,0
714,688,636,1005,2084,2693,0
720,693,637,1005,2085,2689,0
712,692,631,1006,2086,2702,0
714,694,635,1004,2087,2692,0
720,693,637,1003,2083,2689,0
717,692,638,1001,2083,2683,0
714,692,633,999,2085,2692,0
720,690,634,1000,2084,2681,0
716,689,627,996,2084,2692,0
711,691,628,1001,2086,2682,0
716,688,634,997,2084,2692,0
709,687,631,998,2085,2685,0
715,687,631,996,2083,2689,0
709,684,633,995,2084,2687,0
708,686,629,998,2084,2689,0
707,685,630,992,2084,2687,0
705,682,630,990,2084,2689,0
703,684,628,995,2085,2687,0
700,684,628,998,2082,2684,0
705,680,627,992,2084,2685,0
701,682,627,991,2082,2687,0
700,681,631,991,2083,2685,0
705,682,630,991,2080,2677,0
705,682,626,991,2083,2687,0
703,686,628,988,2082,2685,0
706,682,628,986,2083,2685,0
701,678,627,990,2081,2684,0
695,677,624,986,2084,2687,0
703,681,627,990,2080,2684,0
